round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,lr,shapes
6,2.479006290435791,0.0453682541847229,0.7220576405525208,0.0,sigmoid,7,0.30000000000000004,150,16,1,sigmoid,1.8499999999999999,brick
11,1.8694413900375366,0.5680829286575317,0.7017896175384521,0.5683971047401428,relu,13,0.2,150,8,1,sigmoid,2.75,funnel
7,0.6840605735778809,0.49783849716186523,0.6837620735168457,0.4316028952598572,relu,21,0.0,150,8,2,sigmoid,4.55,funnel
7,3.079702615737915,0.5680829286575317,0.7522502541542053,0.5683971047401428,sigmoid,16,0.4,150,16,1,sigmoid,0.5,funnel
9,1.2792896032333374,0.5680829286575317,0.688236653804779,0.5683971047401428,relu,16,0.1,150,8,1,sigmoid,1.4,funnel
6,6.662317752838135,0.5680829286575317,6.657472133636475,0.5683971047401428,relu,16,0.1,150,128,0,sigmoid,1.8499999999999999,funnel
9,1.272472620010376,0.5680829286575317,0.6881970763206482,0.5683971047401428,relu,21,0.1,150,64,1,sigmoid,1.4,funnel
10,2.4855844974517822,0.5680829286575317,0.7261098623275757,0.5683971047401428,relu,10,0.30000000000000004,150,16,1,sigmoid,2.75,funnel
7,3.0768260955810547,0.007969400845468044,0.7524518966674805,0.0,relu,16,0.4,150,100,1,sigmoid,4.55,brick
9,3.0819926261901855,0.5086131691932678,0.7635220289230347,0.5683971047401428,relu,16,0.4,150,4,2,sigmoid,4.55,funnel
